year,Base case cost,Modeled biomass for heat (cordwood)
2017,1119360.75265,1145131.95076
2018,1174534.93415,1191967.59895
2019,1261209.76005,1267898.71636
2020,1289680.12624,1290882.73255
2021,1316111.20154,1313346.15102
2022,1335940.36154,1329978.17722
2023,1350820.40624,1342244.16924
2024,1362387.48624,1351592.84836
2025,1375607.00624,1362428.39201
2026,1392122.98154,1376207.41046
2027,1406969.30744,1388524.02615
2028,1405839.33364,1385258.01718
2029,1420577.82364,1397506.06097
2030,1430394.74893,1405412.19996
2031,1446770.74893,1419148.29368
2032,1463128.87953,1432884.58491
2033,1479495.64483,1446647.15432
2034,1483993.04573,1448370.68416
2035,1495343.36103,1457711.57501
2036,1513193.94103,1472821.54184
