year,Base case diesel consumed,Modeled solar power
2020,92785.1986161,92138.5512795
2021,92785.1986161,92143.7244582
2022,92785.1986161,92148.8562515
2023,92785.1986161,92153.9469904
2024,92785.1986161,92158.9970034
2025,92785.1986161,92164.0066163
2026,92785.1986161,92168.9761523
2027,92712.7101797,92101.4174956
2028,92640.2217433,92033.8194007
2029,92640.2217433,92038.6706194
2030,92640.2217433,92043.4830284
2031,92640.2217433,92048.2569381
2032,92567.7333069,91980.5042201
2033,92567.7333069,91985.2020528
2034,92495.2448704,91917.3738664
2035,92422.756434,91849.508398
2036,92422.756434,91854.0943823
2037,92422.756434,91858.6436787
2038,92350.2679976,91790.6681444
2039,92350.2679976,91795.1449432
