year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,72805.110829,53875.7820135
2018,72805.110829,53875.7820135
2019,72805.110829,53875.7820135
2020,72805.110829,53875.7820135
2021,72805.110829,53875.7820135
2022,72805.110829,53875.7820135
2023,72805.110829,53875.7820135
2024,72805.110829,53875.7820135
2025,72805.110829,53875.7820135
2026,72805.110829,53875.7820135
2027,72805.110829,53875.7820135
2028,72805.110829,53875.7820135
2029,72805.110829,53875.7820135
2030,72805.110829,53875.7820135
2031,72805.110829,53875.7820135
