year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9708.09649191,6310.26271974
2018,9705.58000117,6308.62700076
2019,9703.49453519,6307.27144788
2020,9701.69450637,6306.10142914
2021,9701.07706005,6305.70008903
2022,9700.95709371,6305.62211091
2023,9701.52650012,6305.99222508
2024,9701.82154524,6306.18400441
2025,9702.32369577,6306.51040225
2026,9701.14898647,6305.74684121
2027,9698.08630861,6303.7561006
2028,9697.32140645,6303.25891419
2029,9696.73038209,6302.87474836
2030,9696.22743089,6302.54783008
2031,9695.50736598,6302.07978789
