year,Base case diesel consumed,"Jade creek, east fork"
2021,92785.1986161,78081.3093993
2022,92785.1986161,78081.3093993
2023,92785.1986161,78081.3093993
2024,92785.1986161,78081.3093993
2025,92785.1986161,78081.3093993
2026,92785.1986161,78081.3093993
2027,92712.7101797,78008.8209629
2028,92640.2217433,77936.3325265
2029,92640.2217433,77936.3325265
2030,92640.2217433,77936.3325265
2031,92640.2217433,77936.3325265
2032,92567.7333069,77863.8440901
2033,92567.7333069,77863.8440901
2034,92495.2448704,77791.3556537
2035,92422.756434,77718.8672172
2036,92422.756434,77718.8672172
2037,92422.756434,77718.8672172
2038,92350.2679976,77646.3787808
2039,92350.2679976,77646.3787808
2040,92277.7795612,77573.8903444
2041,92277.7795612,77573.8903444
2042,92205.2911248,77501.401908
2043,92132.8026883,77428.9134716
2044,92132.8026883,77428.9134716
2045,92060.3142519,77356.4250352
2046,92060.3142519,77356.4250352
2047,92060.3142519,77356.4250352
2048,91987.8258155,77283.9365987
2049,91987.8258155,77283.9365987
2050,91915.3373791,77211.4481623
2051,91915.3373791,77211.4481623
2052,91915.3373791,77211.4481623
2053,91915.3373791,77211.4481623
2054,91915.3373791,77211.4481623
2055,91915.3373791,77211.4481623
2056,91915.3373791,77211.4481623
2057,91915.3373791,77211.4481623
2058,91915.3373791,77211.4481623
2059,91915.3373791,77211.4481623
2060,91915.3373791,77211.4481623
2061,91915.3373791,77211.4481623
2062,91915.3373791,77211.4481623
2063,91915.3373791,77211.4481623
2064,91915.3373791,77211.4481623
2065,91915.3373791,77211.4481623
2066,91915.3373791,77211.4481623
2067,91915.3373791,77211.4481623
2068,91915.3373791,77211.4481623
2069,91915.3373791,77211.4481623
2070,91915.3373791,77211.4481623
