year,Base case diesel consumed,"Atka (unnamed stream, site #4) -- unnamed creek 4","Atka (unnamed stream, site #3) -- unnamed creek 3","Atka (unnamed stream, site #2) -- unnamed creek 2","Atka (unnamed stream, site #1) -- unnamed creek 1",Chuniisax creek (atka)
2020,2169.9993948,,,,,0.0
2021,2169.9993948,0.0,0.0,0.0,0.0,0.0
2022,2169.9993948,0.0,0.0,0.0,0.0,0.0
2023,2169.9993948,0.0,0.0,0.0,0.0,0.0
2024,2169.9993948,0.0,0.0,0.0,0.0,0.0
2025,2060.72356668,-109.27582812,-109.27582812,-109.27582812,-109.27582812,-109.27582812
2026,2060.72356668,-109.27582812,-109.27582812,-109.27582812,-109.27582812,-109.27582812
2027,2060.72356668,-109.27582812,-109.27582812,-109.27582812,-109.27582812,-109.27582812
2028,2060.72356668,-109.27582812,-109.27582812,-109.27582812,-109.27582812,-109.27582812
2029,2060.72356668,-109.27582812,-109.27582812,-109.27582812,-109.27582812,-109.27582812
2030,1951.44773856,-218.551656239,-218.551656239,-218.551656239,-218.551656239,-218.551656239
2031,1951.44773856,-218.551656239,-218.551656239,-218.551656239,-218.551656239,-218.551656239
2032,1951.44773856,-218.551656239,-218.551656239,-218.551656239,-218.551656239,-218.551656239
2033,1951.44773856,-218.551656239,-218.551656239,-218.551656239,-218.551656239,-218.551656239
2034,1951.44773856,-218.551656239,-218.551656239,-218.551656239,-218.551656239,-218.551656239
2035,1842.17191044,-327.827484359,-327.827484359,-327.827484359,-327.827484359,-327.827484359
2036,1842.17191044,-327.827484359,-327.827484359,-327.827484359,-327.827484359,-327.827484359
2037,1842.17191044,-327.827484359,-327.827484359,-327.827484359,-327.827484359,-327.827484359
2038,1842.17191044,-327.827484359,-327.827484359,-327.827484359,-327.827484359,-327.827484359
2039,1732.89608232,-437.103312479,-437.103312479,-437.103312479,-437.103312479,-437.103312479
2040,1732.89608232,-437.103312479,-437.103312479,-437.103312479,-437.103312479,-437.103312479
2041,1732.89608232,-437.103312479,-437.103312479,-437.103312479,-437.103312479,-437.103312479
2042,1623.6202542,-546.379140599,-546.379140599,-546.379140599,-546.379140599,-546.379140599
2043,1623.6202542,-546.379140599,-546.379140599,-546.379140599,-546.379140599,-546.379140599
2044,1514.34442608,-655.654968718,-655.654968718,-655.654968718,-655.654968718,-655.654968718
2045,1514.34442608,-655.654968718,-655.654968718,-655.654968718,-655.654968718,-655.654968718
2046,1405.06859796,-764.930796838,-764.930796838,-764.930796838,-764.930796838,-764.930796838
2047,1405.06859796,-764.930796838,-764.930796838,-764.930796838,-764.930796838,-764.930796838
2048,1405.06859796,-764.930796838,-764.930796838,-764.930796838,-764.930796838,-764.930796838
2049,1295.79276984,-874.206624958,-874.206624958,-874.206624958,-874.206624958,-874.206624958
2050,1186.51694172,-983.482453077,-983.482453077,-983.482453077,-983.482453077,-983.482453077
