year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,2279.28,5396.2,28771.07,6485.27
2018,2279.28,5397.02,28771.07,7006.47
2019,2279.28,5397.6,28771.07,7006.47
2020,2170.0,5398.18,28771.07,7006.47
2021,2170.0,5398.7,28771.07,7006.47
2022,2170.0,5399.3,28771.07,7006.47
2023,2170.0,5399.67,28771.07,7006.47
2024,2170.0,5400.1,28771.07,7006.47
2025,2060.72,5400.44,28771.07,7006.47
2026,2060.72,5400.84,28771.07,7006.47
2027,2060.72,5401.18,28771.07,7006.47
2028,2060.72,5401.63,28771.07,7006.47
2029,2060.72,5401.96,28771.07,7006.47
2030,1951.45,5402.45,28771.07,7006.47
2031,1951.45,5402.84,28771.07,7006.47
