year,Base case cost,Modeled transmission and interties
2021,473566.470806,
2022,488744.883332,
2023,499875.719184,
2024,508982.766699,
2025,517980.538387,
2026,531106.750861,
2027,542213.546031,
2028,551300.923897,
2029,564427.136371,
2030,570258.094559,
2031,583355.895318,
2032,597461.219211,
2033,611566.543105,
2034,625671.866999,
2035,633362.699782,
2036,648442.764062,
2037,657490.802631,
2038,672570.866911,
2039,682143.429454,
2040,699197.015191,
