year,Base case cost,"Atka (unnamed stream, site #4) -- unnamed creek 4","Atka (unnamed stream, site #3) -- unnamed creek 3","Atka (unnamed stream, site #2) -- unnamed creek 2","Atka (unnamed stream, site #1) -- unnamed creek 1",Chuniisax creek (atka)
2020,9699.89729476,,,,,471186.599138
2021,10155.5971677,95714.0249492,601986.774651,443076.280969,938082.19408,460720.735242
2022,10481.0970769,93737.1312383,587704.641272,430973.183469,914898.317168,450730.050303
2023,10719.7970103,91823.1930248,574132.580593,419657.773535,892976.310983,441125.801093
2024,10915.0969558,89962.0498901,561057.842709,408848.24599,871911.194916,431819.366458
2025,10571.5118971,87578.4253848,547604.383341,397564.194402,850540.734091,422119.924286
2026,10839.4059607,85769.1720491,534666.74258,386631.03432,829567.429506,413046.057105
2027,11066.0855531,84011.8993288,522208.586211,376190.17499,809421.402025,404257.470159
2028,11251.5506741,82305.6536406,510223.549368,366236.604617,790092.544067,395749.484547
2029,11519.4447377,80615.612005,498081.609043,355929.99169,770382.833469,387260.547635
2030,11045.1942003,78378.8503876,486197.875018,346039.452362,751644.385527,378596.003306
2031,11298.8824063,76749.4933959,474541.599272,336112.239495,732714.276954,370460.322129
2032,11572.0850897,75149.5289905,463021.44571,326234.605528,713968.055283,362458.014423
2033,11845.2877731,73584.8516698,451736.822289,316542.431734,695595.861898,354628.848143
2034,12118.4904565,72054.6345004,440682.209491,307031.371956,677588.931654,346968.765818
2035,11605.6830358,69903.3391279,429689.082678,297710.405632,660245.857163,339004.983983
2036,11882.0088224,68416.5052682,418956.991591,288392.214156,642728.459928,331610.958118
2037,12047.8042943,67008.7699517,409076.036214,280091.249478,626752.506996,324644.501339
2038,12324.1300809,65585.3708269,398767.351942,271106.455249,609907.491327,317561.727613
2039,11783.6933598,63480.8394877,388344.496724,262105.14761,593444.662876,310066.119748
2040,12078.2856938,62083.6912533,378208.720864,253136.878715,576821.881668,303171.570065
2041,12078.2856938,60867.4898223,370090.960547,246744.825363,563930.656951,297204.093466
2042,11316.6331718,58918.1405617,361401.807524,239740.933089,550579.917488,290614.826936
2043,11316.6331718,57758.2805285,353660.108237,233644.996163,538285.887941,284923.797942
2044,10554.9806498,55863.9521825,345338.202437,226930.280182,525518.347081,278604.499867
2045,10554.9806498,54757.8234687,337955.142732,221116.741757,513793.846968,273177.111733
2046,9793.3281278,52915.9670777,329983.470653,214677.805369,501582.486807,267115.275255
2047,9793.3281278,51861.080528,322942.436204,209133.58306,490401.132126,261939.314563
2048,9793.3281278,50830.9178546,316066.425819,203719.303319,479481.840158,256884.665316
2049,9031.67560581,49063.2470814,308589.919302,197670.268156,468056.81641,251186.831814
2050,8270.02308381,47319.1548897,301270.792367,191745.156174,456881.715728,245604.690193
