year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,8688.55915782,5647.56345258
2018,8698.92110003,5654.29871502
2019,8708.75633799,5660.69161969
2020,8718.620133,5667.10308645
2021,8735.57208364,5678.12185436
2022,8745.20955728,5684.38621223
2023,8757.57449696,5692.42342302
2024,8766.55288969,5698.2593783
2025,8777.94021715,5705.66114115
2026,8797.51554734,5718.38510577
2027,8810.39624885,5726.75756175
2028,8822.08315853,5734.35405305
2029,8833.26284681,5741.62085043
2030,8844.94535284,5749.21447935
2031,8858.89000496,5758.27850323
