year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,131734.5419,97483.5610062
2018,131734.5419,97483.5610062
2019,131734.5419,97483.5610062
2020,131734.5419,97483.5610062
2021,131734.5419,97483.5610062
2022,131734.5419,97483.5610062
2023,131734.5419,97483.5610062
2024,131734.5419,97483.5610062
2025,131734.5419,97483.5610062
2026,131734.5419,97483.5610062
2027,131734.5419,97483.5610062
2028,131734.5419,97483.5610062
2029,131734.5419,97483.5610062
2030,131734.5419,97483.5610062
2031,131734.5419,97483.5610062
