year,Base case cost,Modeled biomass for heat (cordwood)
2017,251297.872534,264136.413929
2018,267433.922534,275334.188475
2019,288180.272534,289958.079931
2020,297861.902534,296417.336078
2021,304777.352534,300847.630737
2022,309387.652534,303589.472293
2023,313075.892534,305665.163394
2024,315842.072534,307074.3376
2025,319069.282534,308839.314936
2026,323218.552534,311300.638564
2027,326445.762534,313094.396707
2028,329211.942534,314561.148715
2029,332900.182534,316723.246998
2030,335205.332534,317875.910594
2031,338893.572534,320064.184868
2032,,
2033,,
2034,,
2035,,
2036,,
