year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,53490.64,10072.29,46102.9,17043.39
2018,53409.72,10070.09,46102.9,17043.39
2019,53409.72,10067.68,46102.9,18065.94
2020,53409.72,10065.1,46102.9,18065.94
2021,53409.72,10062.38,46102.9,18065.94
2022,53409.72,10059.53,46102.9,18065.94
2023,53409.72,10056.59,46102.9,18065.94
2024,53409.72,10053.57,46102.9,18065.94
2025,53328.8,10050.49,46102.9,18065.94
2026,53328.8,10047.39,46102.9,18065.94
2027,53328.8,10044.27,46102.9,19088.48
2028,53328.8,10041.16,46102.9,19088.48
2029,53328.8,10038.08,46102.9,19088.48
2030,53328.8,10035.06,46102.9,19088.48
2031,53247.87,10032.09,46102.9,19088.48
2032,53247.87,,,19088.48
2033,53247.87,,,19088.48
2034,53247.87,,,19088.48
2035,53247.87,,,19088.48
2036,53247.87,,,20111.03
