year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,54901.96,251297.31,139592.24,19298.91,107113.85,77622.25
2018,58414.48,267433.32,145557.43,20072.24,111334.97,80681.17
2019,62930.96,288179.62,162420.04,21065.35,116762.13,89314.84
2020,65028.51,297861.23,166213.89,21538.32,119294.8,91252.16
2021,66520.28,304776.67,168923.78,21882.14,121103.85,92635.96
2022,67507.42,309386.96,170730.37,22118.2,122309.88,93558.49
2023,68292.2,313075.19,172175.65,22311.61,123274.71,94296.51
2024,68874.9,315841.36,173259.6,22462.11,123998.33,94850.03
2025,69557.37,319068.56,174524.22,22635.06,124842.55,95495.81
2026,70440.13,323217.82,176150.15,22852.27,125927.99,96326.08
2027,71121.37,326445.03,187456.57,23026.08,126772.21,102075.64
2028,71701.84,329211.2,188601.88,23178.18,127495.83,102658.29
2029,72482.92,332899.43,190128.95,23374.2,128460.66,103435.16
2030,72962.8,335204.58,191083.38,23504.3,129063.67,103920.7
2031,73743.83,338892.81,192610.46,23700.11,130028.5,104697.57
2032,,,194328.42,,,105571.55
2033,,,196046.38,,,106445.52
2034,,,197764.35,,,107319.5
2035,,,198909.66,,,107902.15
2036,,,211374.97,,,114214.94
