year,Base case cost,Modeled water and wastewater efficiency
2017,74200.8745937,54328.6123859
2018,78486.7170232,57094.0518689
2019,83996.3131813,60679.1990418
2020,86566.8355928,62304.1701751
2021,88402.4176503,63440.6985135
2022,89625.6295728,64170.5430125
2023,90603.8059559,64738.9307699
2024,91337.0119754,65145.8314314
2025,92192.4328103,65636.4025856
2026,93292.3996517,66292.2934477
2027,94147.4574071,66786.5483718
2028,94880.0216442,67200.8600416
2029,95857.1138658,67780.3131562
2030,96467.1077637,68116.3254037
2031,97443.9350045,68699.0715677
