year,Base case diesel consumed,Modeled residential ashp
2017,88084.6554124,47203.2880869
2018,89673.468109,48792.1007835
2019,91262.2808056,50380.9134801
2020,91262.2808056,50380.9134801
2021,92851.0935022,51969.7261767
2022,94439.9061988,53558.5388733
2023,94439.9061988,53558.5388733
2024,96028.7188954,55147.3515699
2025,97617.531592,56736.1642664
2026,97617.531592,56736.1642664
2027,99206.3442885,58324.976963
2028,99206.3442885,58324.976963
2029,100795.156985,59913.7896596
2030,100795.156985,59913.7896596
2031,102383.969682,61502.6023562
