year,Base case cost,Modeled wind power,Kaktovik wind diesel design
2019,1291156.56994,1641807.13077,1642751.76686
2020,1361213.60139,1691523.74311,1698485.75744
2021,1411346.11834,1726668.58282,1738064.4548
2022,1446048.61396,1750665.59472,1765228.50787
2023,1469301.06495,1766424.20708,1783204.04906
2024,1488858.8496,1779558.70149,1798238.76818
2025,1512128.40552,1795334.4188,1816231.41431
2026,1542892.66052,1816463.73843,1840211.071
2027,1565895.37943,1831972.61872,1857936.88011
2028,1584981.75202,1844635.70107,1872500.18717
2029,1612693.11791,1863782.67997,1894180.79902
2030,1628377.66069,1874114.48088,1906096.12051
2031,1659069.39076,1895171.27559,1930003.25228
2032,1685249.52271,1912787.02055,1950152.63018
2033,1715040.16471,1932942.72718,1973158.67387
2034,1744351.86848,1952619.49559,1995685.77934
2035,1762613.09893,1964457.43579,2009423.94425
2036,1795999.19862,1987138.05175,2035271.60139
2037,1810298.24153,1996084.35279,2045801.42301
2038,1843390.13632,2018470.76384,2071354.87524
