year,Base case cost,Modeled biomass for heat (cordwood)
2017,288820.942417,348799.741332
2018,308643.602417,365198.206383
2019,334285.43636,386193.736957
2020,346780.57636,396287.88847
2021,356598.18636,404091.695591
2022,362845.75636,408836.132148
2023,368200.81636,412826.819479
2024,368226.055755,411749.947781
2025,372646.055755,414958.206189
2026,374307.369697,415297.81476
2027,379560.249697,419242.550411
2028,379338.659093,417973.759188
2029,384540.479093,421893.61083
2030,388008.359093,424339.852703
2031,389350.508488,424424.997112
2032,395359.728488,429065.406465
2033,400510.488488,432982.968404
2034,402485.10243,433612.020652
2035,405884.86243,436048.987181
2036,407710.961826,436551.696806
