year,annotation,Average Load
2003,,1944.0
2004,,2031.0
2005,,1942.0
2006,,1990.0
2007,,1963.0
2008,,1978.0
2009,,1962.0
2010,,2075.0
2011,,2057.0
2012,,2091.0
2013,,2087.0
2014,start of forecast,2087.0
2015,,2086.0
2016,,2085.0
2017,,2084.0
2018,,2082.0
2019,,2081.0
2020,,2079.0
2021,,2078.0
2022,,2077.0
2023,,2076.0
2024,,2071.0
2025,,2069.0
2026,,2066.0
2027,,2063.0
2028,,2059.0
2029,,2057.0
2030,,2054.0
2031,,2051.0
2032,,2051.0
2033,,2048.0
2034,,2045.0
2035,,2043.0
2036,,2038.0
2037,,2036.0
2038,,2034.0
2039,,2033.0
2040,,2033.0
