year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,18618300
2004,,0,0,0,0,0,19360500
2005,,0,0,0,0,0,19318400
2006,,0,0,0,0,0,19264500
2007,,0,0,0,0,0,18525200
2008,,0,0,0,0,0,18738500
2009,,0,0,0,0,0,18730700
2010,,0,0,0,0,0,19267450
2011,,0,0,0,0,0,18919700
2012,,0,0,0,0,0,19352000
2013,,0,0,0,0,0,18504842
2014,start of forecast,0,0,0,0,0,19001000
2015,,0,0,0,0,0,18995000
2016,,0,0,0,0,0,18982000
2017,,0,0,0,0,0,18972000
2018,,0,0,0,0,0,18951000
2019,,0,0,0,0,0,18942000
2020,,0,0,0,0,0,18930000
2021,,0,0,0,0,0,18916000
2022,,0,0,0,0,0,18912000
2023,,0,0,0,0,0,18896000
2024,,0,0,0,0,0,18856000
2025,,0,0,0,0,0,18836000
2026,,0,0,0,0,0,18811000
2027,,0,0,0,0,0,18786000
2028,,0,0,0,0,0,18743000
2029,,0,0,0,0,0,18723000
2030,,0,0,0,0,0,18703000
2031,,0,0,0,0,0,18675000
2032,,0,0,0,0,0,18677000
2033,,0,0,0,0,0,18648000
2034,,0,0,0,0,0,18621000
2035,,0,0,0,0,0,18597000
2036,,0,0,0,0,0,18550000
2037,,0,0,0,0,0,18539000
2038,,0,0,0,0,0,18521000
2039,,0,0,0,0,0,18512000
2040,,0,0,0,0,0,18505000
