year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,84275.76,15295505.69,11820005.43,200628.55,17059253.43,7322674.43
2018,90597.2,16338351.04,12685098.36,211446.44,17856866.97,7745734.3
2019,99202.35,17786747.35,13843467.76,225961.86,18964663.55,8308225.37
2020,103920.37,18481977.59,14554048.89,234323.57,19496405.91,8656079.98
2021,107140.7,18945464.41,15051644.99,240054.89,19850900.82,8899264.66
2022,109653.63,19293079.52,15449296.91,244573.59,20116772.0,9093544.06
2023,111641.34,19553790.86,15772482.02,248199.07,20316175.38,9251531.84
2024,113328.07,19756566.35,16064272.55,251346.36,20471266.91,9394546.54
2025,115205.36,19988309.76,16388330.15,254816.1,20648514.36,9552960.56
2026,117456.7,20277989.02,16759072.42,258918.46,20870073.68,9733363.88
2027,119831.88,20538700.36,17186413.07,263420.14,21069477.06,9942257.86
2028,121556.0,20741475.84,17490934.3,266624.31,21224568.58,10090495.67
2029,123721.6,21002187.18,17859841.14,270615.69,21423971.97,10269471.19
2030,125396.89,21175994.74,18164640.76,273810.19,21556907.56,10417891.49
2031,127757.05,21465674.0,18572020.89,278119.26,21778466.87,10614812.59
2032,,,18989476.92,,,10815799.35
2033,,,19361579.81,,,10994531.76
2034,,,19760483.53,,,11185677.77
2035,,,20113972.82,,,11356235.21
2036,,,20584282.42,,,11581878.77
