year,Base case cost,Modeled wind power,Bethel renewable energy project,Bethel wind power project times 4,Bethel wind farm construction (bnc land)
2017,9679620.47066,,9768092.95621,9922059.22995,10235373.3679
2018,10818491.1453,,10842051.6721,11036924.197,11038866.2597
2019,12398949.2253,12553531.8619,12336627.5998,12587180.0522,12178242.403
2020,13166041.1692,13077054.0128,13057470.3606,13336083.2054,12704541.9552
2021,13678819.9237,13408873.4685,13536353.3564,13834486.1596,13039073.717
2022,14065124.7156,13646193.8586,13895049.499,14208402.7398,13279042.8435
2023,14356211.6819,13812588.4929,14163294.4019,14488629.8351,13448024.1343
2024,14584784.9231,13933079.3979,14372271.7664,14707412.3891,13571041.0713
2025,14845518.1904,14079357.6555,14612104.6228,14958054.3786,13719786.1569
2026,15170085.47,14275416.6333,14912946.7981,15271770.8093,13918254.146
2027,15467295.0869,14452987.4028,15188147.4593,15558732.524,14098177.466
2028,15696984.0434,14579529.0663,15399054.1208,15779228.4191,14227016.5425
2029,15991333.2798,14756592.0057,15671782.2384,16063614.6434,14406323.0487
2030,16190967.4154,14863026.9272,15854528.0474,16254789.284,14514948.9535
2031,16517642.8019,15067008.9177,16158436.9638,16571317.9974,14721070.5762
2032,16876032.0735,15296136.6294,16492723.003,16919236.3317,14952287.7725
2033,17201507.5946,15501058.3866,16795784.7896,17234824.2858,15159250.0421
2034,17559040.1304,15731418.8471,17129558.5614,17582138.9175,15391603.1901
2035,17792275.0011,15869092.4638,17345261.7567,17807099.3839,15531222.791
2036,18153778.5545,16105416.6294,17683335.0568,18158626.3446,15769447.332
2037,18389327.555,16247350.3602,,,
2038,18754252.2483,16488996.041,,,
