year,Base case cost,Chikuminuk lake
2021,13678819.9237,20838751.535
2022,14065124.7156,20467347.0965
2023,14356211.6819,20098647.0833
2024,14584784.9231,19735648.332
2025,14845518.1904,19384351.7237
2026,15170085.47,19046734.2565
2027,15467295.0869,18719853.8444
2028,15696984.0434,18392831.112
2029,15991333.2798,18079708.3331
2030,16190967.4154,17768344.7105
2031,16517642.8019,17473910.8518
2032,16876032.0735,17189352.0817
2033,17201507.5946,16908832.3515
2034,17559040.1304,16638176.6069
2035,17792275.0011,16368286.2664
2036,18153778.5545,16115677.545
2037,18389327.555,15861847.4341
2038,18754252.2483,15626083.7754
2039,19053400.221,15389991.1319
2040,19448575.6019,15167794.811
2041,19467603.6973,14929452.9253
2042,19493269.5004,14703780.856
2043,19509199.9988,14474264.2145
2044,19523360.4419,14248730.184
2045,19537963.3989,14029256.5075
2046,19553893.8974,13816596.5434
2047,19569381.882,13608851.6549
2048,19584427.3528,13405896.273
2049,19614518.2943,13223095.7549
2050,19630891.3067,13031566.9526
2051,19630891.3067,12828537.837
2052,19630891.3067,12630267.2162
2053,19630891.3067,12436643.5638
2054,19630891.3067,12247557.9641
2055,19630891.3067,12062904.0588
2056,19630891.3067,11882577.9796
2057,19630891.3067,11706478.2931
2058,19630891.3067,11534505.9422
2059,19630891.3067,11366564.1948
2060,19630891.3067,11202558.5809
2061,19630891.3067,11042396.8487
2062,19630891.3067,10885988.9071
2063,19630891.3067,10733246.7763
2064,19630891.3067,10584084.5405
2065,19630891.3067,10438418.2935
2066,19630891.3067,10296166.0987
2067,19630891.3067,10157247.9408
2068,19630891.3067,10021585.6762
2069,19630891.3067,9889102.99627
2070,19630891.3067,9759725.3795
