year,Base case cost,Modeled solar power (pv)
2016,8133292.69142,8460330.3134
2017,9679620.47066,9975137.04644
2018,10818491.1453,11089114.2951
2019,12398949.2253,12638701.8113
2020,13166041.1692,13387389.704
2021,13678819.9237,13885768.3029
2022,14065124.7156,14259782.2237
2023,14356211.6819,14540191.7461
2024,14584784.9231,14759220.2208
2025,14845518.1904,15010196.6207
2026,15170085.47,15324364.601
2027,15467295.0869,15611845.7116
2028,15696984.0434,15832890.5282
2029,15991333.2798,16117952.4852
2030,16190967.4154,16309782.6885
2031,16517642.8019,16627171.2804
2032,16876032.0735,16976073.0137
2033,17201507.5946,17292689.8749
2034,17559040.1304,17641160.7177
2035,17792275.0011,17867163.8968
