year,Base case diesel consumed,Modeled solar power (pv)
2016,3140267.44843,3093031.37741
2017,3142733.91905,3095875.7366
2018,3144910.21665,3098426.89967
2019,3146941.42775,3100829.9773
2020,3149770.61464,3104028.05579
2021,3151801.82574,3106425.20736
2022,3153615.40708,3108601.80165
2023,3155211.35866,3110557.86207
2024,3156879.85349,3112583.58488
2025,3158620.89157,3114678.99311
2026,3160434.47291,3116844.10964
2027,3163046.03004,3119804.38967
2028,3164714.52487,3121818.81762
2029,3166600.64946,3124048.10787
2030,3168486.77405,3126274.6528
2031,3170372.89865,3128498.47436
2032,3172186.47999,3130647.05109
2033,3173709.88831,3132502.77485
2034,3175233.29663,3134355.84008
2035,3177191.96448,3136641.52758
