year,Base case diesel consumed,Chikuminuk lake
2021,3151801.82574,0.0
2022,3153615.40708,1813.58133861
2023,3155211.35866,3409.53291659
2024,3156879.85349,5078.02774811
2025,3158620.89157,6819.06583317
2026,3160434.47291,8632.64717178
2027,3163046.03004,11244.2042994
2028,3164714.52487,12912.6991309
2029,3166600.64946,14798.8237231
2030,3168486.77405,16684.9483152
2031,3170372.89865,18571.0729074
2032,3172186.47999,20384.654246
2033,3173709.88831,21908.0625704
2034,3175233.29663,23431.4708948
2035,3177191.96448,25390.1387405
2036,3179295.71883,27493.8930933
2037,3181544.55969,29742.7339532
2038,3184083.57357,32281.7478272
2039,3186187.32792,34385.50218
2040,3188291.08227,36489.2565328
2041,3191410.44217,39608.6164352
2042,3195617.95088,43816.1251408
2043,3198229.50801,46427.6822684
2044,3200550.89212,48749.0663818
2045,3202944.81949,51142.9937488
2046,3205556.37662,53754.5508764
2047,3208095.39049,56293.5647504
2048,3210561.86111,58760.0353709
2049,3215494.80235,63692.976612
2050,3218178.90273,66377.0769931
2051,3218178.90273,66377.0769931
2052,3218178.90273,66377.0769931
2053,3218178.90273,66377.0769931
2054,3218178.90273,66377.0769931
2055,3218178.90273,66377.0769931
2056,3218178.90273,66377.0769931
2057,3218178.90273,66377.0769931
2058,3218178.90273,66377.0769931
2059,3218178.90273,66377.0769931
2060,3218178.90273,66377.0769931
2061,3218178.90273,66377.0769931
2062,3218178.90273,66377.0769931
2063,3218178.90273,66377.0769931
2064,3218178.90273,66377.0769931
2065,3218178.90273,66377.0769931
2066,3218178.90273,66377.0769931
2067,3218178.90273,66377.0769931
2068,3218178.90273,66377.0769931
2069,3218178.90273,66377.0769931
2070,3218178.90273,66377.0769931
