year,Base case cost,Modeled water and wastewater efficiency
2017,48816.0118087,42588.7517852
2018,51526.7446991,44406.8908139
2019,55069.9472668,46783.0460368
2020,56737.9856913,47902.2609937
2021,57989.0154337,48741.8386511
2022,58823.1467199,49301.8109533
2023,59447.9135818,49720.6549433
2024,59968.6403346,50069.8222671
2025,60489.7720835,50419.6082216
2026,61219.6831825,50909.8818556
2027,61846.0082573,51331.3186557
2028,62367.8749476,51682.5320731
2029,62993.1446793,52102.5017901
2030,63410.6420713,52383.6745779
2031,64243.9666843,52943.2639558
