year,Base case cost,"Galena and ruby (melozitna river, low head)",Ruby (grayling creek)
2021,143344.694323,85753688.1183,1006650.12252
2022,147167.219505,85751842.2632,1007940.5152
2023,150034.113391,85750457.8719,1008908.3097
2024,152423.19163,85749304.2124,1009714.80512
2025,154812.269869,85748150.5529,1010521.30054
2026,158156.979403,85746535.4297,1011650.39412
2027,161023.87329,85745151.0383,1012618.18863
2028,163412.951528,85743997.3789,1013424.68405
2029,166279.845415,85742612.9875,1014392.47855
2030,168191.108006,85741690.06,1015037.67489
2031,172013.633188,85739844.2048,1016328.06756
2032,175358.342722,85738229.0816,1017457.16114
2033,178703.052256,85736613.9583,1018586.25473
2034,182525.577438,85734768.1032,1019876.6474
2035,184711.82913,85734120.1647,1020796.83284
2036,188540.053568,85732280.0089,1022092.92477
2037,190932.693842,85731129.9114,1022902.98222
2038,194282.390225,85729519.775,1024037.06266
2039,197153.558553,85728139.6581,1025009.1316
2040,201460.311046,85726069.4828,1026467.23502
2041,201460.311046,85726069.4828,1026467.23502
2042,201460.311046,85726069.4828,1026467.23502
2043,201460.311046,85726069.4828,1026467.23502
2044,201460.311046,85726069.4828,1026467.23502
2045,201460.311046,85726069.4828,1026467.23502
2046,201460.311046,85726069.4828,1026467.23502
2047,201460.311046,85726069.4828,1026467.23502
2048,201460.311046,85726069.4828,1026467.23502
2049,201460.311046,85726069.4828,1026467.23502
2050,201460.311046,85726069.4828,1026467.23502
