year,annotation,line losses
2002,,0.14
2003,,-1.931
2004,,-0.027
2005,,0.197
2006,,-24.161
2007,,-inf
2008,,-inf
2009,,-1.139
2010,,0.131
2011,,0.111
2012,,0.038
2013,,0.091
2016,start of forecast,0.07980000000000001
2017,,0.07980000000000001
2018,,0.07980000000000001
2019,,0.07980000000000001
2020,,0.07980000000000001
2021,,0.07980000000000001
2022,,0.07980000000000001
2023,,0.07980000000000001
2024,,0.07980000000000001
2025,,0.07980000000000001
2026,,0.07980000000000001
2027,,0.07980000000000001
2028,,0.07980000000000001
2029,,0.07980000000000001
2030,,0.07980000000000001
2031,,0.07980000000000001
2032,,0.07980000000000001
2033,,0.07980000000000001
2034,,0.07980000000000001
2035,,0.07980000000000001
2036,,0.07980000000000001
2037,,0.07980000000000001
2038,,0.07980000000000001
2039,,0.07980000000000001
2040,,0.07980000000000001
