year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9776.17502086,6354.51376356
2018,9774.69610873,6353.55247067
2019,9772.97348572,6352.43276572
2020,9771.25286035,6351.31435923
2021,9769.53689611,6350.19898247
2022,9768.34830622,6349.42639904
2023,9767.3801215,6348.79707898
2024,9766.23281596,6348.05133038
2025,9764.72660288,6347.07229187
2026,9762.18761505,6345.42194978
2027,9759.60800874,6343.74520568
2028,9756.71610627,6341.86546907
2029,9753.79557109,6339.96712121
2030,9749.90219007,6337.43642354
2031,9746.2871455,6335.08664458
