year,population
2003,97.0
2004,94.0
2005,96.0
2006,95.0
2007,96.0
2008,100.0
2009,105.0
2010,105.0
2011,112.0
2012,112.0
2013,112.0
2014,112.0
2015,112.0
2016,112.0
2017,112.0
2018,112.0
2019,112.0
2020,113.0
2021,113.0
2022,113.0
2023,113.0
2024,113.0
2025,114.0
2026,114.0
2027,114.0
2028,115.0
2029,115.0
2030,116.0
2031,116.0
2032,117.0
2033,117.0
2034,118.0
2035,118.0
2036,119.0
2037,119.0
2038,120.0
2039,120.0
2040,121.0
