year,Base case cost,"Quinhagak, alaska heat recovery study"
2019,509604.433708,490217.103988
2020,526278.088827,504618.759107
2021,537741.226721,514519.897001
2022,546078.05428,521720.724561
2023,552330.67495,527121.34523
2024,557541.192174,531621.862455
2025,562751.709399,536122.379679
2026,570046.433513,542423.103794
2027,576299.054183,547823.724463
2028,581509.571407,552324.241688
2029,587762.192077,557724.862357
2030,591930.605856,561325.276137
2031,599225.329971,567626.000251
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
