year,Base case diesel consumed,Modeled transmission and interties
2021,57341.9988793,0.0
2022,57341.9988793,0.0
2023,57271.8986362,0.0
2024,57271.8986362,0.0
2025,57201.7983931,0.0
2026,57201.7983931,0.0
2027,57131.6981499,0.0
2028,57131.6981499,0.0
2029,57131.6981499,0.0
2030,57061.5979068,0.0
2031,57061.5979068,0.0
2032,56991.4976637,0.0
2033,56921.3974205,0.0
2034,56851.2971774,0.0
2035,56781.1969343,0.0
2036,56711.0966912,0.0
2037,56640.996448,0.0
2038,56570.8962049,0.0
2039,56500.7959618,0.0
2040,56430.6957186,0.0
