year,Base case diesel consumed,Modeled solar power (pv)
2016,57341.9988793,56486.1891837
2017,57341.9988793,56493.0356613
2018,57341.9988793,56499.827367
2019,57341.9988793,56506.5647391
2020,57341.9988793,56513.2482122
2021,57341.9988793,56519.8782176
2022,57341.9988793,56526.4551829
2023,57271.8986362,56462.8792893
2024,57271.8986362,56469.3514441
2025,57201.7983931,56405.6715785
2026,57201.7983931,56412.040593
2027,57131.6981499,56348.2584123
2028,57131.6981499,56354.5259302
2029,57131.6981499,56360.7433079
2030,57061.5979068,56296.8107036
2031,57061.5979068,56302.9290012
2032,56991.4976637,56238.8981093
2033,56921.3974205,56174.8186626
2034,56851.2971774,56110.6910495
2035,56781.1969343,56046.5156554
