year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.27
2004,,1.52,2.26
2005,,2.23,3.15
2006,,2.44,3.42
2008,,2.98,5.14
2009,,3.76,3.59
2010,,3.09,4.97
2011,,3.51,5.82
2012,,4.12,6.31
2013,,3.58,6.0
2014,,,5.78
2016,start of forecast,1.73,2.91
2017,,2.12,3.3
2018,,2.42,3.6
2019,,2.84,4.02
2020,,3.04,4.22
2021,,3.18,4.36
2022,,3.28,4.46
2023,,3.36,4.54
2024,,3.42,4.6
2025,,3.49,4.67
2026,,3.58,4.76
2027,,3.65,4.83
2028,,3.71,4.89
2029,,3.8,4.98
2030,,3.85,5.03
2031,,3.94,5.12
2032,,4.03,5.21
2033,,4.12,5.3
2034,,4.22,5.4
2035,,4.29,5.47
2036,,4.39,5.57
2037,,4.45,5.63
2038,,4.55,5.73
2039,,4.63,5.81
2040,,4.74,5.92
