year,Base case diesel consumed,Modeled diesel efficiency
2019,185451.825935,168592.569032
2020,185521.205593,168655.641448
2021,185590.585251,168718.713865
2022,185590.585251,168718.713865
2023,185521.205593,168655.641448
2024,185521.205593,168655.641448
2025,185521.205593,168655.641448
2026,185590.585251,168718.713865
2027,185659.964909,168781.786281
2028,185659.964909,168781.786281
2029,185659.964909,168781.786281
2030,185729.344567,168844.858697
2031,185729.344567,168844.858697
2032,185798.724225,168907.931114
2033,185798.724225,168907.931114
2034,185798.724225,168907.931114
2035,185868.103883,168971.00353
2036,185868.103883,168971.00353
2037,185868.103883,168971.00353
2038,185868.103883,168971.00353
