year,annotation,Average Load
2003,,294.0
2004,,288.0
2005,,285.0
2006,,290.0
2007,,285.0
2008,,288.0
2009,,291.0
2010,,294.0
2011,,291.0
2012,,293.0
2013,,274.0
2014,,262.0
2015,,251.0
2016,start of forecast,273.0
2017,,273.0
2018,,273.0
2019,,273.0
2020,,273.0
2021,,273.0
2022,,273.0
2023,,273.0
2024,,273.0
2025,,273.0
2026,,273.0
2027,,273.0
2028,,273.0
2029,,273.0
2030,,273.0
2031,,274.0
2032,,274.0
2033,,274.0
2034,,274.0
2035,,274.0
2036,,274.0
2037,,274.0
2038,,274.0
2039,,274.0
2040,,274.0
