year,Base case cost,Modeled biomass for heat (cordwood)
2017,764540.408013,823227.910447
2018,816858.488013,859345.558994
2019,886615.928013,908418.302936
2020,920041.368013,930685.370314
2021,941840.568013,944413.198892
2022,959279.928013,954973.330541
2023,970906.168013,961289.874605
2024,979625.848013,965510.703231
2025,991252.088013,971932.873313
2026,1004331.60801,979480.584372
2027,1015957.84801,986003.487278
2028,1026130.80801,991500.415559
2029,1039210.32801,999193.962105
2030,1046476.72801,1002635.55044
2031,1061009.52801,1011495.2903
2032,,
2033,,
2034,,
2035,,
2036,,
