year,Base case diesel consumed,Modeled solar power (pv)
2016,185313.066619,182861.936398
2017,185382.446277,182950.925098
2018,185382.446277,182970.377268
2019,185451.825935,183059.053478
2020,185521.205593,183147.575315
2021,185590.585251,183235.944016
2022,185590.585251,183254.781146
2023,185521.205593,183204.08792
2024,185521.205593,183222.624862
2025,185521.205593,183241.013508
2026,185590.585251,183328.634702
2027,185659.964909,183416.109965
2028,185659.964909,183434.060804
2029,185659.964909,183451.868037
2030,185729.344567,183538.91247
2031,185729.344567,183556.435927
2032,185798.724225,183643.198854
2033,185798.724225,183660.443057
2034,185798.724225,183677.549306
2035,185868.103883,183763.898364
