year,Base case cost,Modeled solar power (pv)
2016,594854.943847,619509.905289
2017,687768.875687,710586.863187
2018,754506.556347,775860.304368
2019,843805.808004,863437.218479
2020,886791.362734,905326.940993
2021,914961.585287,932612.730136
2022,937232.455518,954088.803613
2023,951723.784692,967896.056543
2024,962855.057028,978405.393734
2025,977696.753475,992594.627961
2026,994765.536945,1009003.79581
2027,1009990.20911,1023606.77756
2028,1022986.40665,1036018.33333
2029,1039695.80349,1052113.03372
2030,1049370.7968,1061275.44706
2031,1067943.73126,1079239.93742
2032,1085064.54947,1095788.09424
2033,1103644.4219,1113787.49868
2034,1122224.29432,1131800.52599
2035,1133795.43369,1142902.31831
