year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,30721.07,2969600.0,2969600.0
2004,,30721.07,2976000.0,2976000.0
2005,,30721.07,2804400.0,2804400.0
2006,,30721.07,2825600.0,2825600.0
2007,,30721.07,2809600.0,2809600.0
2008,,30721.07,2809600.0,2809600.0
2009,,30721.07,2803200.0,2803200.0
2010,,30721.07,2890577.0,2890577.0
2011,,30721.07,2902627.0,2902627.0
2012,,30721.07,2818264.0,2818264.0
2013,,30721.07,2686816.0,2686816.0
2014,,30721.07,2546881.0,2546881.0
2015,,30721.07,2470916.0,2470916.0
2016,start of forecast,30721.07,2671000.0,2671000.0
2017,,30721.07,2672000.0,2672000.0
2018,,30721.07,2672000.0,2672000.0
2019,,30721.07,2673000.0,2673000.0
2020,,30721.07,2674000.0,2674000.0
2021,,30721.07,2675000.0,2675000.0
2022,,30721.07,2675000.0,2675000.0
2023,,30721.07,2674000.0,2674000.0
2024,,30721.07,2674000.0,2674000.0
2025,,30721.07,2674000.0,2674000.0
2026,,30721.07,2675000.0,2675000.0
2027,,30721.07,2676000.0,2676000.0
2028,,30721.07,2676000.0,2676000.0
2029,,30721.07,2676000.0,2676000.0
2030,,30721.07,2677000.0,2677000.0
2031,,30721.07,2677000.0,2677000.0
2032,,30721.07,2678000.0,2678000.0
2033,,30721.07,2678000.0,2678000.0
2034,,30721.07,2678000.0,2678000.0
2035,,30721.07,2679000.0,2679000.0
2036,,30721.07,2679000.0,2679000.0
2037,,30721.07,2679000.0,2679000.0
2038,,30721.07,2679000.0,2679000.0
2039,,30721.07,2678000.0,2678000.0
2040,,30721.07,2678000.0,2678000.0
