year,Base case cost,Modeled wind power
2019,843805.808004,1200327.00592
2020,886791.362734,1227366.91629
2021,914961.585287,1241954.90243
2022,937232.455518,1251668.15491
2023,951723.784692,1254887.90132
2024,962855.057028,1255495.12586
2025,977696.753475,1259488.57028
2026,994765.536945,1265646.67529
2027,1009990.20911,1270426.81509
2028,1022986.40665,1273439.95137
2029,1039695.80349,1279823.15306
2030,1049370.7968,1280424.43817
2031,1067943.73126,1288771.67846
2032,1085064.54947,1296110.64405
2033,1103644.4219,1304814.9933
2034,1122224.29432,1313688.29709
2035,1133795.43369,1316784.58191
2036,1152382.24408,1325990.94577
2037,1163534.33031,1328986.65613
2038,1183979.82174,1340096.0355
