year,Base case diesel consumed,Chignik lake -- unnamed creek 1,Chignik lake (cucumber creek),"Chignik lake (unnamed stream, site #6) -- unnamed creek 2",Chignik lagoon (through creek),Chignik hydroelectric dam project -- packers creek,Chignik (mud bay lake creek),Chignik lagoon (crazy creek),Chignik bay (negro creek),Chignik (indian creek),"Chignik (snowbird creek, 1)"
2020,67796.3642251,,,,,26588.1153803,,,,,
2021,67721.862726,39616.9268311,39616.9268311,39616.9268311,26513.6138811,26513.6138811,26513.6138811,26513.6138811,0.0,0.0,63291.3829207
2022,67647.3612268,39542.4253319,39542.4253319,39542.4253319,26439.112382,26439.112382,26439.112382,26439.112382,0.0,0.0,63216.8814216
2023,67572.8597277,39467.9238328,39467.9238328,39467.9238328,26364.6108828,26364.6108828,26364.6108828,26364.6108828,0.0,0.0,63142.3799224
2024,67423.8567294,39318.9208345,39318.9208345,39318.9208345,26215.6078845,26215.6078845,26215.6078845,26215.6078845,0.0,0.0,62993.3769241
2025,67349.3552303,39244.4193353,39244.4193353,39244.4193353,26141.1063854,26141.1063854,26141.1063854,26141.1063854,0.0,0.0,62918.875425
2026,67274.8537311,39169.9178362,39169.9178362,39169.9178362,26066.6048862,26066.6048862,26066.6048862,26066.6048862,0.0,0.0,62844.3739258
2027,67200.352232,39095.416337,39095.416337,39095.416337,25992.1033871,25992.1033871,25992.1033871,25992.1033871,0.0,0.0,62769.8724267
2028,67125.8507328,39020.9148379,39020.9148379,39020.9148379,25917.6018879,25917.6018879,25917.6018879,25917.6018879,0.0,0.0,62695.3709275
2029,67125.8507328,39020.9148379,39020.9148379,39020.9148379,25917.6018879,25917.6018879,25917.6018879,25917.6018879,0.0,0.0,62695.3709275
2030,67125.8507328,39020.9148379,39020.9148379,39020.9148379,25917.6018879,25917.6018879,25917.6018879,25917.6018879,0.0,0.0,62695.3709275
2031,67125.8507328,39020.9148379,39020.9148379,39020.9148379,25917.6018879,25917.6018879,25917.6018879,25917.6018879,0.0,0.0,62695.3709275
2032,66976.8477345,38871.9118396,38871.9118396,38871.9118396,25768.5988897,25768.5988897,25768.5988897,25768.5988897,0.0,0.0,62546.3679292
2033,66902.3462354,38797.4103404,38797.4103404,38797.4103404,25694.0973905,25694.0973905,25694.0973905,25694.0973905,0.0,0.0,62471.8664301
2034,66753.3432371,38648.4073421,38648.4073421,38648.4073421,25545.0943922,25545.0943922,25545.0943922,25545.0943922,0.0,0.0,62322.8634318
2035,66678.8417379,38573.905843,38573.905843,38573.905843,25470.5928931,25470.5928931,25470.5928931,25470.5928931,0.0,0.0,62248.3619327
2036,66604.3402388,38499.4043438,38499.4043438,38499.4043438,25396.0913939,25396.0913939,25396.0913939,25396.0913939,0.0,0.0,62173.8604335
2037,66604.3402388,38499.4043438,38499.4043438,38499.4043438,25396.0913939,25396.0913939,25396.0913939,25396.0913939,0.0,0.0,62173.8604335
2038,66529.8387396,38424.9028447,38424.9028447,38424.9028447,25321.5898948,25321.5898948,25321.5898948,25321.5898948,0.0,0.0,62099.3589344
2039,66455.3372405,38350.4013455,38350.4013455,38350.4013455,25247.0883956,25247.0883956,25247.0883956,25247.0883956,0.0,0.0,62024.8574352
2040,66455.3372405,38350.4013455,38350.4013455,38350.4013455,25247.0883956,25247.0883956,25247.0883956,25247.0883956,0.0,0.0,62024.8574352
2041,66380.8357413,38275.8998464,38275.8998464,38275.8998464,25172.5868965,25172.5868965,25172.5868965,25172.5868965,0.0,0.0,61950.3559361
2042,66306.3342422,38201.3983472,38201.3983472,38201.3983472,25098.0853973,25098.0853973,25098.0853973,25098.0853973,0.0,0.0,61875.8544369
2043,66306.3342422,38201.3983472,38201.3983472,38201.3983472,25098.0853973,25098.0853973,25098.0853973,25098.0853973,0.0,0.0,61875.8544369
2044,66231.832743,38126.8968481,38126.8968481,38126.8968481,25023.5838982,25023.5838982,25023.5838982,25023.5838982,0.0,0.0,61801.3529378
2045,66231.832743,38126.8968481,38126.8968481,38126.8968481,25023.5838982,25023.5838982,25023.5838982,25023.5838982,0.0,0.0,61801.3529378
2046,66231.832743,38126.8968481,38126.8968481,38126.8968481,25023.5838982,25023.5838982,25023.5838982,25023.5838982,0.0,0.0,61801.3529378
2047,66157.3312439,38052.3953489,38052.3953489,38052.3953489,24949.082399,24949.082399,24949.082399,24949.082399,0.0,0.0,61726.8514386
2048,66157.3312439,38052.3953489,38052.3953489,38052.3953489,24949.082399,24949.082399,24949.082399,24949.082399,0.0,0.0,61726.8514386
2049,66157.3312439,38052.3953489,38052.3953489,38052.3953489,24949.082399,24949.082399,24949.082399,24949.082399,0.0,0.0,61726.8514386
2050,66157.3312439,38052.3953489,38052.3953489,38052.3953489,24949.082399,24949.082399,24949.082399,24949.082399,0.0,0.0,61726.8514386
