year,Base case cost,Modeled non-residential energy efficiency
2017,459337.20749,500097.065512
2018,493281.490395,530574.97313
2019,541271.683467,573664.428727
2020,563511.041233,593632.713029
2021,579897.936428,608346.185672
2022,591602.861568,618855.808989
2023,599796.309165,626212.54531
2024,606819.264249,632518.3193
2025,615012.711847,639875.055622
2026,625547.144472,649333.716607
2027,633740.59207,656690.452928
2028,640763.547154,662996.226918
2029,650127.487266,671403.925571
2030,655979.949835,676658.73723
2031,666514.382461,686117.398215
