year,annotation,diesel generation efficiency
2002,,11.07
2003,,10.55
2004,,10.01
2005,,8.44
2006,,9.36
2007,,8.43
2008,,9.5
2009,,12.08
2010,,13.39
2011,,13.31
2012,,13.72
2013,,13.24
2016,start of forecast,13.42
2017,,13.42
2018,,13.42
2019,,13.42
2020,,13.42
2021,,13.42
2022,,13.42
2023,,13.42
2024,,13.42
2025,,13.42
2026,,13.42
2027,,13.42
2028,,13.42
2029,,13.42
2030,,13.42
2031,,13.42
2032,,13.42
2033,,13.42
2034,,13.42
2035,,13.42
2036,,13.42
2037,,13.42
2038,,13.42
2039,,13.42
2040,,13.42
