year,Base case diesel consumed,"Unalakleet (east fork of south river) -- south river, east fork"
2021,236100.244675,62072.8672599
2022,236167.104158,62139.7267432
2023,236251.648712,62224.2712971
2024,236306.694504,62279.3170888
2025,236375.511114,62348.1336985
2026,236444.980099,62417.6026836
2027,236509.423894,62482.0464791
2028,236577.000358,62549.6229425
2029,236644.163439,62616.7860238
2030,236710.557886,62683.1804706
2031,236844.450211,62817.0727955
2032,236911.317608,62883.9401928
2033,236911.238783,62883.8613677
2034,236978.132415,62950.7550001
2035,237044.975704,63017.5982886
2036,237111.810956,63084.4335409
2037,237178.668347,63151.290932
2038,237312.361319,63284.9839037
2039,237379.207304,63351.8298883
2040,237379.209205,63351.8317894
2041,237446.056157,63418.6787419
2042,237512.903657,63485.5262416
2043,237579.751662,63552.3742464
2044,237646.599147,63619.2217321
2045,237713.446811,63686.0693955
2046,237780.294529,63752.9171134
2047,237847.142151,63819.7647358
2048,237913.989819,63886.6124037
2049,237980.837488,63953.4600731
2050,237980.837481,63953.4600652
2051,237980.837483,63953.4600677
2052,237980.837484,63953.4600687
2053,237980.837482,63953.4600672
2054,237980.837483,63953.4600678
2055,237980.837483,63953.4600679
2056,237980.837483,63953.4600676
2057,237980.837483,63953.4600678
2058,237980.837483,63953.4600678
2059,237980.837483,63953.4600677
2060,237980.837483,63953.4600678
2061,237980.837483,63953.4600678
2062,237980.837483,63953.4600678
2063,237980.837483,63953.4600678
2064,237980.837483,63953.4600678
2065,237980.837483,63953.4600678
2066,237980.837483,63953.4600678
2067,237980.837483,63953.4600678
2068,237980.837483,63953.4600678
2069,237980.837483,63953.4600678
2070,237980.837483,63953.4600678
