year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,3887960
2004,,0,0,0,0,0,3978880
2005,,0,0,0,0,0,4014080
2006,,0,0,0,0,0,3996600
2007,,0,0,0,0,0,3953560
2008,,0,0,0,0,0,4228582
2009,,0,0,80697,0,0,4047000
2010,,0,0,596772,0,0,3836128
2011,,0,0,921367,0,0,3577762
2012,,0,0,938886,0,0,3548379
2013,,0,0,996859,0,0,3416769
2014,start of forecast,0,0,952371,0,0,3535629
2015,,0,0,962705,0,0,3527295
2016,,0,0,970645,0,0,3520355
2017,,0,0,961907,0,0,3530093
2018,,0,0,965086,0,0,3527914
2019,,0,0,965879,0,0,3528121
2020,,0,0,964291,0,0,3530709
2021,,0,0,965085,0,0,3531915
2022,,0,0,965085,0,0,3532915
2023,,0,0,964820,0,0,3534180
2024,,0,0,964997,0,0,3535003
2025,,0,0,964967,0,0,3536033
2026,,0,0,964928,0,0,3537072
2027,,0,0,964964,0,0,3538036
2028,,0,0,964953,0,0,3539047
2029,,0,0,964948,0,0,3540052
2030,,0,0,964955,0,0,3541045
2031,,0,0,964952,0,0,3543048
2032,,0,0,964952,0,0,3544048
2033,,0,0,964953,0,0,3544047
2034,,0,0,964953,0,0,3545047
2035,,0,0,964953,0,0,3546047
2036,,0,0,964953,0,0,3547047
2037,,0,0,964953,0,0,3548047
2038,,0,0,964953,0,0,3550047
2039,,0,0,964953,0,0,3551047
2040,,0,0,964953,0,0,3551047
