year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,235978.46,9407.36,284677.43,195299.23
2018,235832.82,9417.29,284677.43,197784.34
2019,235846.62,9427.37,284677.43,201512.01
2020,236019.66,9437.22,284677.43,203997.12
2021,236100.24,9446.67,284677.43,206482.24
2022,236167.1,9455.97,284677.43,210209.9
2023,236251.65,9465.48,284677.43,212695.01
2024,236306.69,9474.74,284677.43,215180.13
2025,236375.51,9483.98,284677.43,218907.79
2026,236444.98,9493.33,284677.43,221392.91
2027,236509.42,9502.44,284677.43,223878.02
2028,236577.0,9511.41,284677.43,226363.13
2029,236644.16,9522.49,284677.43,230090.8
2030,236710.56,9533.13,284677.43,233818.46
2031,236844.45,9543.1,284677.43,236303.57
2032,236911.32,9551.4,284677.43,238788.69
2033,236911.24,9559.17,284677.43,241273.8
2034,236978.13,9566.98,284677.43,243758.91
2035,237044.98,9575.22,284677.43,246244.02
2036,237111.81,9584.26,284677.43,248729.13
2037,237178.67,9593.92,284677.43,252456.8
2038,237312.36,9603.35,284677.43,254941.91
2039,237379.21,9611.88,284677.43,257427.02
2040,237379.21,9619.75,284677.43,259912.14
