year,Base case cost,"Unalakleet (east fork of south river) -- south river, east fork"
2021,675246.699771,4742708.41112
2022,694331.286226,4661446.5746
2023,706392.42965,4579950.32319
2024,718372.351293,4500380.71941
2025,730400.329342,4422819.98291
2026,747166.137112,4348756.61712
2027,761560.34494,4275769.28182
2028,771241.021166,4203049.87551
2029,785658.622618,4133695.42743
2030,795347.474497,4064509.09292
2031,812376.464223,3999630.65814
2032,829189.611628,3936197.25195
2033,845773.122455,3874156.15377
2034,862600.401992,3813942.7544
2035,874695.960347,3753699.75321
2036,891540.409195,3696560.88277
2037,901278.93972,3638524.21364
2038,920771.961918,3585371.98576
2039,932900.284703,3530994.84074
2040,951890.628911,3480120.58775
2041,952158.68519,3424486.94013
2042,952426.743664,3370163.49088
2043,952694.804163,3317119.53161
2044,952962.862581,3265325.07109
2045,953230.921711,3214750.82664
2046,953498.98106,3165368.19887
2047,953767.040026,3117149.25888
2048,954035.099174,3070066.7327
2049,954303.158328,3024093.98603
2050,954303.158297,2978936.9491
2051,954303.158307,2934838.28032
2052,954303.158311,2891773.17391
2053,954303.158305,2849717.40626
2054,954303.158307,2808647.3204
2055,954303.158308,2768539.8147
2056,954303.158307,2729372.32869
2057,954303.158307,2691122.83051
2058,954303.158307,2653769.80529
2059,954303.158307,2617292.24132
2060,954303.158307,2581669.62014
2061,954303.158307,2546881.90443
2062,954303.158307,2512909.52552
2063,954303.158307,2479733.37434
2064,954303.158307,2447334.7893
2065,954303.158307,2415695.54637
2066,954303.158307,2384797.84747
2067,954303.158307,2354624.31396
2068,954303.158307,2325157.97239
2069,954303.158307,2296382.24851
2070,954303.158307,2268280.95555
