year,Base case diesel consumed,Modeled non-residential ashp
2017,10945.2495153,7234.21447858
2018,10945.2495153,7234.21447858
2019,8975.21881308,5264.18377636
2020,8975.21881308,5264.18377636
2021,8975.21881308,5264.18377636
2022,8975.21881308,5264.18377636
2023,8975.21881308,5264.18377636
2024,8975.21881308,5264.18377636
2025,8975.21881308,5264.18377636
2026,8975.21881308,5264.18377636
2027,8975.21881308,5264.18377636
2028,7005.18811086,3294.15307414
2029,7005.18811086,3294.15307414
2030,7005.18811086,3294.15307414
2031,7005.18811086,3294.15307414
