year,Base case diesel consumed,Modeled wind power
2019,128402.352703,82589.1816093
2020,129244.084455,83430.9133613
2021,129856.253002,84043.0819081
2022,130621.463686,84808.2925917
2023,131233.632232,85420.4611385
2024,132075.363984,86262.1928905
2025,132611.011463,86797.840369
2026,133299.701078,87486.5299842
2027,133988.390693,88175.2195994
2028,134677.080308,88863.9092146
2029,135365.769924,89552.5988298
2030,136054.459539,90241.288445
2031,136666.628086,90853.4569919
2032,137431.838769,91618.6676755
2033,138044.007316,92230.8362223
2034,138732.696931,92919.5258375
2035,139497.907615,93684.7365211
2036,140110.076162,94296.905068
2037,140798.765777,94985.5946832
2038,141640.497529,95827.3264351
