year,Base case diesel consumed,Cathedral falls (kake),Gunnuk creek hydro rehabilitation - ipec kake,"Goemere creek (washington bay, unnamed stream)",Gunnuk creek,Ledge lake (ledge creek),Rowan bay (6415 road) -- 0,Rowan bay (big lake) -- 1605 lake,"Rowan bay (stink creek/ erode creek) -- erode creek, stink creek",Rowan bay (unnamed creeks),Towers creek
2020,176446.281814,,87499.9346472,,,,,,,,
2021,175648.538658,0.0,86702.1914906,160174.997357,123781.699966,90862.0110177,122656.958869,27272.1152598,101460.326959,133255.274827,0.0
2022,177606.635497,1958.09683888,88660.2883295,162133.094196,125739.796805,92820.1078566,124615.055708,29230.2120987,103418.423798,135213.371666,1958.09683888
2023,180362.475492,4713.93683433,91416.128325,164888.934191,128495.6368,95575.947852,127370.895703,31986.0520942,106174.263793,137969.211661,4713.93683433
2024,185366.500747,9717.96208924,96420.1535799,169892.959446,133499.662055,100579.973107,132374.920958,36990.0773491,111178.289048,142973.236916,9717.96208924
2025,190152.959687,14504.4210287,101206.612519,174679.418386,138286.120995,105366.432046,137161.379898,41776.5362885,115964.747988,147759.695855,14504.4210287
2026,194866.896521,19218.3578631,105920.549354,179393.35522,143000.057829,110080.368881,141875.316732,46490.4731229,120678.684822,152473.63269,19218.3578631
2027,197477.692306,21829.1536482,108531.345139,182004.151005,145610.853614,112691.164666,144486.112517,49101.268908,123289.480607,155084.428475,21829.1536482
2028,199363.26704,23714.728382,110416.919873,183889.725739,147496.428348,114576.7394,146371.687251,50986.8436418,125175.055341,156970.003209,23714.728382
2029,224165.826999,48517.2883411,135219.479832,208692.285698,172298.988307,139379.299359,171174.24721,75789.4036009,149977.6153,181772.563168,48517.2883411
2030,248170.643801,72522.1051436,159224.296634,232697.102501,196303.80511,163384.116161,195179.064012,99794.2204034,173982.432102,205777.37997,72522.1051436
2031,267751.61219,92103.0735324,178805.265023,252278.07089,215884.773498,182965.08455,214760.032401,119375.188792,193563.400491,225358.348359,92103.0735324
2032,263762.896407,88114.3577495,174816.54924,248289.355107,211896.057715,178976.368767,210771.316618,115386.473009,189574.684708,221369.632576,88114.3577495
2033,253319.713267,77671.1746088,164373.366099,237846.171966,201452.874575,168533.185627,200328.133478,104943.289869,179131.501568,210926.449435,77671.1746088
2034,244907.14907,69258.6104122,155960.801903,229433.607769,193040.310378,160120.62143,191915.569281,96530.725672,170718.937371,202513.885239,69258.6104122
2035,243819.317493,68170.778835,154872.970326,228345.776192,191952.478801,159032.789853,190827.737704,95442.8940948,169631.105794,201426.053662,68170.778835
2036,252884.580636,77236.0419779,163938.233469,237411.039335,201017.741944,168098.052996,199893.000847,104508.157238,178696.368937,210491.316805,77236.0419779
2037,271377.717447,95729.1787896,182431.37028,255904.176147,219510.878756,186591.189807,218386.137658,123001.294049,197189.505748,228984.453616,95729.1787896
2038,288492.934261,112844.395603,199546.587094,273019.392961,236626.095569,203706.406621,235501.354472,140116.510863,214304.722562,246099.67043,112844.395603
2039,294657.313199,119008.774541,205710.966031,279183.771898,242790.474507,209870.785558,241665.73341,146280.8898,220469.101499,252264.049367,119008.774541
2040,291901.473203,116252.934545,202955.126036,276427.931902,240034.634511,207114.945563,238909.893414,143525.049805,217713.261504,249508.209372,116252.934545
2041,287477.624789,111829.086131,198531.277622,272004.083489,235610.786097,202691.097149,234486.045,139101.201391,213289.41309,245084.360958,111829.086131
2042,287767.71321,112119.174552,198821.366043,272294.171909,235900.874518,202981.18557,234776.133421,139391.289812,213579.501511,245374.449379,112119.174552
2043,297050.542668,121402.00401,208104.195501,281577.001368,245183.703976,212264.015028,244058.962879,148674.11927,222862.330969,254657.278837,121402.00401
2044,310467.13212,134818.593462,221520.784953,294993.590819,258600.293428,225680.60448,257475.552331,162090.708722,236278.920421,268073.868289,134818.593462
2045,319169.784737,143521.246079,230223.43757,303696.243436,267302.946045,234383.257097,266178.204948,170793.361339,244981.573038,276776.520906,143521.246079
2046,321345.447891,145696.909234,232399.100724,305871.906591,269478.609199,236558.920251,268353.868102,172969.024493,247157.236192,278952.18406,145696.909234
2047,320910.31526,145261.776603,231963.968093,305436.77396,269043.476569,236123.78762,267918.735472,172533.891862,246722.103561,278517.051429,145261.776603
2048,320910.31526,145261.776603,231963.968093,305436.77396,269043.476569,236123.78762,267918.735472,172533.891862,246722.103561,278517.051429,145261.776603
2049,323666.155256,148017.616598,234719.808089,308192.613955,271799.316564,238879.627616,270674.575467,175289.731858,249477.943557,281272.891425,148017.616598
2050,327219.738408,151571.19975,238273.391241,311746.197107,275352.899716,242433.210768,274228.158619,178843.31501,253031.526709,284826.474577,151571.19975
2051,327219.738408,151571.19975,238273.391241,311746.197107,275352.899716,242433.210768,274228.158619,178843.31501,253031.526709,284826.474577,151571.19975
2052,327219.738408,151571.19975,238273.391241,311746.197107,275352.899716,242433.210768,274228.158619,178843.31501,253031.526709,284826.474577,151571.19975
2053,327219.738408,151571.19975,238273.391241,311746.197107,275352.899716,242433.210768,274228.158619,178843.31501,253031.526709,284826.474577,151571.19975
2054,327219.738408,151571.19975,238273.391241,311746.197107,275352.899716,242433.210768,274228.158619,178843.31501,253031.526709,284826.474577,151571.19975
2055,327219.738408,151571.19975,238273.391241,311746.197107,275352.899716,242433.210768,274228.158619,178843.31501,253031.526709,284826.474577,151571.19975
2056,327219.738408,151571.19975,238273.391241,311746.197107,275352.899716,242433.210768,274228.158619,178843.31501,253031.526709,284826.474577,151571.19975
2057,327219.738408,151571.19975,238273.391241,311746.197107,275352.899716,242433.210768,274228.158619,178843.31501,253031.526709,284826.474577,151571.19975
2058,327219.738408,151571.19975,238273.391241,311746.197107,275352.899716,242433.210768,274228.158619,178843.31501,253031.526709,284826.474577,151571.19975
2059,327219.738408,151571.19975,238273.391241,311746.197107,275352.899716,242433.210768,274228.158619,178843.31501,253031.526709,284826.474577,151571.19975
2060,327219.738408,151571.19975,238273.391241,311746.197107,275352.899716,242433.210768,274228.158619,178843.31501,253031.526709,284826.474577,151571.19975
2061,327219.738408,151571.19975,238273.391241,311746.197107,275352.899716,242433.210768,274228.158619,178843.31501,253031.526709,284826.474577,151571.19975
2062,327219.738408,151571.19975,238273.391241,311746.197107,275352.899716,242433.210768,274228.158619,178843.31501,253031.526709,284826.474577,151571.19975
2063,327219.738408,151571.19975,238273.391241,311746.197107,275352.899716,242433.210768,274228.158619,178843.31501,253031.526709,284826.474577,151571.19975
2064,327219.738408,151571.19975,238273.391241,311746.197107,275352.899716,242433.210768,274228.158619,178843.31501,253031.526709,284826.474577,151571.19975
2065,327219.738408,151571.19975,238273.391241,311746.197107,275352.899716,242433.210768,274228.158619,178843.31501,253031.526709,284826.474577,151571.19975
2066,327219.738408,151571.19975,238273.391241,311746.197107,275352.899716,242433.210768,274228.158619,178843.31501,253031.526709,284826.474577,151571.19975
2067,327219.738408,151571.19975,238273.391241,311746.197107,275352.899716,242433.210768,274228.158619,178843.31501,253031.526709,284826.474577,151571.19975
2068,327219.738408,151571.19975,238273.391241,311746.197107,275352.899716,242433.210768,274228.158619,178843.31501,253031.526709,284826.474577,151571.19975
2069,327219.738408,151571.19975,238273.391241,311746.197107,275352.899716,242433.210768,274228.158619,178843.31501,253031.526709,284826.474577,151571.19975
2070,327219.738408,151571.19975,,311746.197107,275352.899716,242433.210768,274228.158619,178843.31501,253031.526709,284826.474577,151571.19975
