year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,171469.0,144399.542315
2018,165956.0,138886.542315
2019,166744.0,139674.542315
2020,167529.0,140459.542315
2021,166740.0,139670.542315
2022,169104.0,142034.542315
2023,172257.0,145187.542315
2024,178559.0,151489.542315
2025,184860.0,157790.542315
2026,190378.0,163308.542315
2027,193530.0,166460.542315
2028,195894.0,168824.542315
2029,226621.0,199551.542315
2030,255777.0,228707.542315
2031,280201.0,253131.542315
2032,275472.0,248402.542315
2033,262081.0,235011.542315
2034,251838.0,224768.542315
2035,251044.0,223974.542315
2036,262076.0,235006.542315
