year,Base case cost,Modeled biomass for heat (pellet)
2017,401464.350867,456339.268607
2018,433364.755966,480239.541445
2019,497117.758662,533301.670301
2020,529613.317388,560265.376547
2021,548795.233369,575284.366452
2022,571795.281457,595219.358097
2023,594514.583563,615429.730536
2024,625192.772483,644154.771151
2025,660194.810079,676676.326184
2026,693227.831596,707242.59062
2027,718252.38238,729813.788108
2028,738779.590467,748171.42712
2029,870524.508986,877488.864834
2030,995310.97873,1000401.72618
2031,1112768.73701,1115185.98301
2032,1116026.10951,1115781.75901
2033,1085362.1303,1082197.11466
2034,1063089.59657,1057285.96384
2035,1074800.50594,1066910.7326
2036,1145618.90368,1134841.7335
