year,Base case diesel consumed,Modeled solar power
2020,176446.281814,174231.775349
2021,175648.538658,173451.748244
2022,177606.635497,175427.419406
2023,180362.475492,178200.69313
2024,185366.500747,183222.012644
2025,190152.959687,188025.627488
2026,194866.896521,192756.58298
2027,197477.692306,195384.261274
2028,199363.26704,197286.583456
2029,224165.826999,222105.756884
2030,248170.643801,246127.054247
2031,267751.61219,265724.371352
2032,263762.896407,261751.873496
2033,253319.713267,251324.778539
2034,244907.14907,242928.17382
2035,243819.317493,241856.174045
2036,252884.580636,250937.142335
2037,271377.717447,269445.858653
2038,288492.934261,286576.530337
2039,294657.313199,292756.240506
