year,Base case diesel consumed,Modeled diesel efficiency
2019,176083.671289,160076.064808
2020,176446.281814,160405.71074
2021,175648.538658,159680.489689
2022,177606.635497,161460.577724
2023,180362.475492,163965.886811
2024,185366.500747,168515.000679
2025,190152.959687,172866.326988
2026,194866.896521,177151.72411
2027,197477.692306,179525.174824
2028,199363.26704,181239.333673
2029,224165.826999,203787.115454
2030,248170.643801,225609.676183
2031,267751.61219,243410.556537
2032,263762.896407,239784.451279
2033,253319.713267,230290.648424
2034,244907.14907,222642.862791
2035,243819.317493,221653.924993
2036,252884.580636,229895.073305
2037,271377.717447,246707.015861
2038,288492.934261,262266.303874
