year,Base case cost,Cathedral falls (kake),Gunnuk creek hydro rehabilitation - ipec kake,"Goemere creek (washington bay, unnamed stream)",Gunnuk creek,Ledge lake (ledge creek),Rowan bay (6415 road) -- 0,Rowan bay (big lake) -- 1605 lake,"Rowan bay (stink creek/ erode creek) -- erode creek, stink creek",Rowan bay (unnamed creeks),Towers creek
2020,479933.886535,,538697.202462,,,,,,,,
2021,500598.335175,1108522.7615,540587.966673,1245774.47487,812696.039688,1194105.89659,1092828.98481,1193500.0682,1094687.16493,1167706.88455,16773453.5375
2022,522163.50836,1090408.02688,547277.656646,1250458.27828,819995.551923,1188801.51622,1094526.19222,1178126.1321,1092987.96523,1169634.50467,16431418.227
2023,542891.051231,1075699.22033,555152.622995,1254991.37135,827768.089615,1184885.22176,1096848.90043,1165573.25793,1092392.85989,1171982.73014,16102779.6405
2024,567221.492286,1068824.23006,568649.849466,1263805.81419,840449.042766,1186787.19199,1104229.48047,1160269.40077,1097333.4568,1179183.5073,15791794.3594
2025,595178.763819,1062386.15984,584046.477365,1276266.06151,855874.496775,1190952.98999,1114453.73463,1155981.75539,1104702.74741,1189468.25648,15485534.7029
2026,623574.068867,1056888.40038,600021.993883,1289500.84418,871942.168698,1195968.07969,1125440.16836,1152631.76342,1112864.54218,1200532.06169,15187022.4389
2027,645752.053841,1045663.82575,609917.744082,1296846.92173,881991.919292,1195167.46848,1130525.83076,1143552.36123,1115155.17946,1205711.57649,14889430.898
2028,663879.679243,1032720.02176,616833.296983,1300626.3549,888731.743013,1191600.76974,1132427.80443,1132460.18902,1114514.06418,1207611.98901,14597952.7426
2029,762163.811796,1098548.38565,703100.70617,1384712.88488,975272.528108,1267681.52645,1214230.62867,1200428.71627,1193579.02503,1289540.47772,14390245.4672
2030,856188.721115,1164278.58731,787108.663826,1465171.84229,1058831.20912,1341661.22833,1293184.12086,1267714.6516,1270268.26668,1368411.96704,14191312.7847
2031,945163.191031,1219848.09763,863383.789451,1540390.82796,1135883.68113,1408279.56458,1365702.4501,1325710.55466,1339880.22983,1441197.80732,13984242.6892
2032,952184.05603,1193899.65902,857827.48247,1533948.07749,1131159.64994,1393301.00548,1356548.32628,1302186.20393,1327846.04229,1432325.83253,13701558.8463
2033,937282.939087,1144602.56267,829532.670117,1505705.57127,1104140.88049,1355856.74812,1325189.24193,1255601.95101,1293409.56375,1401374.70033,13399951.2945
2034,925749.023485,1100940.26284,805657.404064,1481271.41615,1081203.91699,1323011.94247,1298023.02723,1214359.29009,1263414.05518,1374518.88948,13110950.0995
2035,936266.179172,1083439.01289,805818.655812,1479485.7602,1081574.37805,1314334.5509,1294284.80883,1198693.51963,1257317.07168,1370881.69121,12856290.4181
2036,993836.401899,1107830.69321,850336.592619,1524530.21848,1127521.8575,1350358.45508,1336182.74062,1225791.60243,1296211.11105,1413228.4809,12644870.8843
2037,1080083.31544,1168694.48948,927383.060476,1599161.80708,1204486.15467,1418944.13423,1409237.24024,1288195.72835,1367177.14506,1486298.8068,12480530.9491
2038,1174166.24244,1230363.68571,1008628.17997,1681231.35703,1287257.24758,1492106.96069,1488141.44969,1352567.28076,1443123.63699,1565677.57175,12316753.9947
2039,1219881.27664,1247738.2466,1043480.55535,1715505.84065,1322901.87318,1518988.17035,1520030.99324,1372060.23267,1472523.7748,1597831.05328,12116365.2079
2040,1237662.24638,1231982.74562,1047692.42779,1721599.28209,1329121.8077,1515554.18201,1522546.41272,1359294.23543,1471902.49615,1600957.04359,11883707.5773
2041,1218905.12911,1198562.28977,1024823.22674,1693018.42597,1304403.78925,1484790.91028,1494326.26779,1325951.35726,1442797.06397,1572244.21199,11651563.1114
2042,1220135.10401,1185472.5981,1022037.49482,1684654.9059,1299812.57159,1474296.12496,1486315.00474,1312937.42503,1433921.26259,1563751.80962,11444407.0037
2043,1259494.30091,1210847.74548,1057475.103,1714645.45529,1333487.01008,1502205.36061,1516649.55513,1338386.55624,1463411.53726,1593616.49738,11280264.1649
2044,1316380.64019,1254077.78648,1110531.76581,1762382.72479,1384821.8275,1547910.09717,1564722.7631,1381688.84708,1510660.25722,1641230.85514,11138418.0488
2045,1353279.88729,1277640.80482,1143691.09449,1790347.33345,1416299.66655,1573889.81038,1593015.43667,1405322.4219,1538147.76673,1669075.43279,10981242.6327
2046,1362504.69906,1273841.95569,1149263.64219,1790846.91236,1420230.13452,1572451.01484,1593835.39148,1401592.47559,1538181.42851,1669457.79394,10800941.4061
2047,1360659.7367,1259278.57453,1143852.01571,1780481.21483,1413214.91456,1560192.3735,1583782.56103,1387096.38233,1527360.73376,1658977.62592,10614012.4226
