year,Base case cost,Modeled solar power
2020,479933.886535,496615.001629
2021,500598.335175,516567.728183
2022,522163.50836,537523.724211
2023,542891.051231,557698.992484
2024,567221.492286,581532.73263
2025,595178.763819,608962.477797
2026,623574.068867,636842.396298
2027,645752.053841,658516.870198
2028,663879.679243,676173.368382
2029,762163.811796,773976.80506
2030,856188.721115,867573.008857
2031,945163.191031,956068.179038
2032,952184.05603,962620.712004
2033,937282.939087,947242.046485
2034,925749.023485,935261.194324
2035,936266.179172,945380.953435
2036,993836.401899,1002504.78561
2037,1080083.31544,1088392.73953
2038,1174166.24244,1182048.75698
2039,1219881.27664,1227384.64135
