year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,171469.0,146860.402105
2018,165956.0,141347.402105
2019,166744.0,142135.402105
2020,167529.0,142920.402105
2021,166740.0,142131.402105
2022,169104.0,144495.402105
2023,172257.0,147648.402105
2024,178559.0,153950.402105
2025,184860.0,160251.402105
2026,190378.0,165769.402105
2027,193530.0,168921.402105
2028,195894.0,171285.402105
2029,226621.0,202012.402105
2030,255777.0,231168.402105
2031,280201.0,255592.402105
2032,275472.0,250863.402105
2033,262081.0,237472.402105
2034,251838.0,227229.402105
2035,251044.0,226435.402105
2036,262076.0,237467.402105
