year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,4076302
2004,,0,0,0,0,0,2877464
2005,,0,0,0,0,0,2633975
2006,,0,0,0,0,0,3353985
2007,,0,0,0,0,0,2531131
2008,,0,0,0,0,0,2608540
2009,,0,0,0,0,0,2553077
2010,,0,0,0,0,0,2498218
2011,,0,0,0,0,0,2831388
2012,,0,0,0,0,0,3020308
2013,,0,0,0,0,0,3101990
2014,start of forecast,0,0,0,0,0,2778000
2015,,0,0,0,0,0,2692000
2016,,0,0,0,0,0,2584000
2017,,0,0,0,0,0,2476000
2018,,0,0,0,0,0,2419000
2019,,0,0,0,0,0,2428000
2020,,0,0,0,0,0,2433000
2021,,0,0,0,0,0,2422000
2022,,0,0,0,0,0,2449000
2023,,0,0,0,0,0,2487000
2024,,0,0,0,0,0,2556000
2025,,0,0,0,0,0,2622000
2026,,0,0,0,0,0,2687000
2027,,0,0,0,0,0,2723000
2028,,0,0,0,0,0,2749000
2029,,0,0,0,0,0,3091000
2030,,0,0,0,0,0,3422000
2031,,0,0,0,0,0,3692000
2032,,0,0,0,0,0,3637000
2033,,0,0,0,0,0,3493000
2034,,0,0,0,0,0,3377000
2035,,0,0,0,0,0,3362000
2036,,0,0,0,0,0,3487000
2037,,0,0,0,0,0,3742000
2038,,0,0,0,0,0,3978000
2039,,0,0,0,0,0,4063000
2040,,0,0,0,0,0,4025000
