year,Base case diesel consumed,Modeled residential energy efficiency
2017,139245.784256,102248.890199
2018,140717.04415,103720.150094
2019,139981.414203,102984.520147
2020,139981.414203,102984.520147
2021,139981.414203,102984.520147
2022,139245.784256,102248.890199
2023,138510.154308,101513.260252
2024,136303.264466,99306.3704098
2025,134832.004571,97835.1105151
2026,133360.744677,96363.8506204
2027,132625.114729,95628.2206731
2028,131889.484782,94892.5907257
2029,127475.705098,90478.8110416
2030,123797.555361,86800.6613048
2031,120855.035572,83858.1415153
2032,120855.035572,83858.1415153
2033,120855.035572,83858.1415153
2034,120855.035572,83858.1415153
2035,120855.035572,83858.1415153
2036,118648.14573,81651.2516733
