year,Base case diesel consumed,Modeled residential ashp
2017,284797.523621,145551.739365
2018,287806.671631,148560.887375
2019,286302.097626,147056.31337
2020,286302.097626,147056.31337
2021,286302.097626,147056.31337
2022,284797.523621,145551.739365
2023,283292.949615,144047.16536
2024,278779.2276,139533.443345
2025,275770.07959,136524.295334
2026,272760.93158,133515.147324
2027,271256.357575,132010.573319
2028,269751.78357,130505.999314
2029,260724.339539,121478.555284
2030,253201.469514,113955.685258
2031,247183.173493,107937.389238
