year,Base case cost,Modeled biomass for heat (cordwood)
2017,5934.34673031,5725.20514699
2018,6393.34673031,6064.57976566
2019,7039.34673031,6542.21811786
2020,7362.34673031,6781.03729396
2021,7566.34673031,6931.87045781
2022,7736.34673031,7057.56476103
2023,7855.34673031,7145.55077327
2024,7940.34673031,7208.39792488
2025,8059.34673031,7296.38393713
2026,8195.34673031,7396.9393797
2027,8314.34673031,7484.92539194
2028,8399.34673031,7547.77254355
2029,8535.34673031,7648.32798612
2030,8620.34673031,7711.17513772
2031,8756.34673031,7811.73058029
2032,,
2033,,
2034,,
2035,,
2036,,
