year,Base case cost,Modeled biomass for heat (pellet)
2017,5934.34673031,6452.22577258
2018,6393.34673031,6765.24522084
2019,7039.34673031,7211.99210329
2020,7362.34673031,7428.66731324
2021,7566.34673031,7560.77961016
2022,7736.34673031,7668.95332087
2023,7855.34673031,7741.05470895
2024,7940.34673031,7789.20295719
2025,8059.34673031,7861.89653692
2026,8195.34673031,7947.0022173
2027,8314.34673031,8020.26055502
2028,8399.34673031,8069.53863689
2029,8535.34673031,8155.46194308
2030,8620.34673031,8205.2659968
2031,8756.34673031,8291.70294737
2032,,
2033,,
2034,,
2035,,
2036,,
